|           x           |  y with my function  |  y with math function  |
|                     -1|               9.25363|                 9.27083|
|                   -0.9|               8.03879|                  8.0388|
|                   -0.8|               7.36689|                  7.3669|
|                   -0.7|                6.8163|                  6.8163|
|                   -0.6|                6.3434|                  6.3434|
|                   -0.5|               5.93007|                 5.93008|
|                   -0.4|               5.56625|                 5.56625|
|                   -0.3|                5.2454|                  5.2454|
|                   -0.2|               4.96292|                 4.96292|
|                   -0.1|               4.71535|                 4.71535|
|          -1.38778e-016|                   4.5|                     4.5|
|                    0.1|               4.31468|                 4.31468|
|                    0.2|               4.15748|                 4.15748|
|                    0.3|               4.02663|                 4.02663|
|                    0.4|               3.92018|                 3.92018|
|                    0.5|               3.83568|                 3.83568|
|                    0.6|               3.76939|                 3.76939|
|                    0.7|               3.71471|                 3.71471|
|                    0.8|               3.65772|                 3.65771|
|                    0.9|               3.55973|                 3.55972|
|                      1|               3.00485|                 2.98765|
The function takes the maximum value when the argument is x=-1. The maximum value of the function is equal to 9.25363
Programm finnished in 9ms
