
                 x                 y0                 y_asm                 y2_fcos
                -0.5           0.0516605           0.0516618           0.0516605
                -0.4            0.443264            0.443265            0.443264
                -0.3            -1.54601            -1.54601            -1.54601
                -0.2             2.50306             2.50306             2.50306
                -0.1            -3.01312            -3.01312            -3.01312
       -2.77556e-017             50.6863             50.6863             50.6863
                 0.1             -2.8754             -2.8754             -2.8754
                 0.2             2.78134             2.78134             2.78134
                 0.3            -1.12116            -1.12116            -1.12116
                 0.4             1.02477             1.02477             1.02477
                 0.5            0.805646            0.805646            0.805646
                 0.6          -0.0369574          -0.0369568          -0.0369575
                 0.7              1.5576              1.5576              1.5576
                 0.8             0.40246             0.40246             0.40246
                 0.9             1.32738             1.32738             1.32738
Время затраченное программой на расчёт: 0.004 секунд
